SKU,Name,Brand,Category,Series,Poles,RatedCurrent_A,Capacity_kVAr,BreakingCapacity_kA,LeakageCurrent_mA,Width_mm,Height_mm,Depth_mm,Pitch_mm,Price_VND
DSP 4P 20A 18kA,Formula DSP MCCB 4P 20A 18kA — 1SDA116215R1,ABB,MCCB,Formula DSP,4,20,,18,,120,130,70,30,3330800
DSP 3P 25A 18kA,Formula DSP MCCB 3P 25A 18kA — 1SDA116205R1,ABB,MCCB,Formula DSP,3,25,,18,,90,130,70,30,2468400
DSP 4P 25A 18kA,Formula DSP MCCB 4P 25A 18kA — 1SDA116216R1,ABB,MCCB,Formula DSP,4,25,,18,,120,130,70,30,3330800
DSP 3P 32A 18kA,Formula DSP MCCB 3P 32A 18kA — 1SDA116206R1,ABB,MCCB,Formula DSP,3,32,,18,,90,130,70,30,2468400
DSP 4P 32A 18kA,Formula DSP MCCB 4P 32A 18kA — 1SDA116217R1,ABB,MCCB,Formula DSP,4,32,,18,,120,130,70,30,3330800
DSP 3P 40A 18kA,Formula DSP MCCB 3P 40A 18kA — 1SDA116207R1,ABB,MCCB,Formula DSP,3,40,,18,,90,130,70,30,2468400
DSP 4P 40A 18kA,Formula DSP MCCB 4P 40A 18kA — 1SDA116218R1,ABB,MCCB,Formula DSP,4,40,,18,,120,130,70,30,3330800
DSP 3P 50A 18kA,Formula DSP MCCB 3P 50A 18kA — 1SDA116208R1,ABB,MCCB,Formula DSP,3,50,,18,,90,130,70,30,2468400
DSP 4P 50A 18kA,Formula DSP MCCB 4P 50A 18kA — 1SDA116219R1,ABB,MCCB,Formula DSP,4,50,,18,,120,130,70,30,3330800
DSP 3P 63A 18kA,Formula DSP MCCB 3P 63A 18kA — 1SDA116209R1,ABB,MCCB,Formula DSP,3,63,,18,,90,130,70,30,2468400
DSP 4P 63A 18kA,Formula DSP MCCB 4P 63A 18kA — 1SDA116220R1,ABB,MCCB,Formula DSP,4,63,,18,,120,130,70,30,3330800
DSP 3P 80A 18kA,Formula DSP MCCB 3P 80A 18kA — 1SDA116210R1,ABB,MCCB,Formula DSP,3,80,,18,,90,130,70,30,2493700
DSP 4P 80A 18kA,Formula DSP MCCB 4P 80A 18kA — 1SDA116221R1,ABB,MCCB,Formula DSP,4,80,,18,,120,130,70,30,3366000
DSP 3P 100A 18kA,Formula DSP MCCB 3P 100A 18kA — 1SDA116211R1,ABB,MCCB,Formula DSP,3,100,,18,,90,130,70,30,2493700
DSP 4P 100A 18kA,Formula DSP MCCB 4P 100A 18kA — 1SDA116222R1,ABB,MCCB,Formula DSP,4,100,,18,,120,130,70,30,3366000
DSP 3P 125A 18kA,Formula DSP MCCB 3P 125A 18kA — 1SDA116212R1,ABB,MCCB,Formula DSP,3,125,,18,,90,130,70,30,3245000
DSP 4P 125A 18kA,Formula DSP MCCB 4P 125A 18kA — 1SDA116225R1,ABB,MCCB,Formula DSP,4,125,,18,,120,130,70,30,4380200
DSP 3P 160A 18kA,Formula DSP MCCB 3P 160A 18kA — 1SDA116213R1,ABB,MCCB,Formula DSP,3,160,,18,,90,130,70,30,4011700
DSP 4P 160A 18kA,Formula DSP MCCB 4P 160A 18kA — 1SDA116226R1,ABB,MCCB,Formula DSP,4,160,,18,,120,130,70,30,5414200
DSP 3P 16A 25kA,Formula DSP MCCB 3P 16A 25kA — 1SDA116227R1,ABB,MCCB,Formula DSP,3,16,,25,,90,130,70,30,2597100
DSP 4P 16A 25kA,Formula DSP MCCB 4P 16A 25kA — 1SDA116238R1,ABB,MCCB,Formula DSP,4,16,,25,,120,130,70,30,3506800
DSP 3P 20A 25kA,Formula DSP MCCB 3P 20A 25kA — 1SDA116228R1,ABB,MCCB,Formula DSP,3,20,,25,,90,130,70,30,2597100
DSP 4P 20A 25kA,Formula DSP MCCB 4P 20A 25kA — 1SDA116239R1,ABB,MCCB,Formula DSP,4,20,,25,,120,130,70,30,3506800
DSP 3P 25A 25kA,Formula DSP MCCB 3P 25A 25kA — 1SDA116229R1,ABB,MCCB,Formula DSP,3,25,,25,,90,130,70,30,2597100
DSP 4P 25A 25kA,Formula DSP MCCB 4P 25A 25kA — 1SDA116240R1,ABB,MCCB,Formula DSP,4,25,,25,,120,130,70,30,3506800
DSP 3P 32A 25kA,Formula DSP MCCB 3P 32A 25kA — 1SDA116230R1,ABB,MCCB,Formula DSP,3,32,,25,,90,130,70,30,2597100
DSP 4P 32A 25kA,Formula DSP MCCB 4P 32A 25kA — 1SDA116241R1,ABB,MCCB,Formula DSP,4,32,,25,,120,130,70,30,3506800
DSP 3P 40A 25kA,Formula DSP MCCB 3P 40A 25kA — 1SDA116231R1,ABB,MCCB,Formula DSP,3,40,,25,,90,130,70,30,2597100
DSP 4P 40A 25kA,Formula DSP MCCB 4P 40A 25kA — 1SDA116242R1,ABB,MCCB,Formula DSP,4,40,,25,,120,130,70,30,3506800
DSP 3P 50A 25kA,Formula DSP MCCB 3P 50A 25kA — 1SDA116232R1,ABB,MCCB,Formula DSP,3,50,,25,,90,130,70,30,2597100
